CATEGORIA,NOME ,PRODUTTORE,ANNO,PROVENIENZA,FORNITORE,ACQUISTO,VENDITA,Q.tà,MAGAZZINO,,,,,,,,
,Barbaresco Marcorino,Guido Rivella,,Piemonte,,"€ 47,00","€ 61,10",4,"€ 188,00",,,,,,,,
,Barbaresco Montestefano,Guido Rivella,,Piemonte,,"€ 50,00","€ 65,00",2,"€ 100,00",,,,,,,,
,Pignoletto frizz.,Guidotti,,Emilia Romagna,,"€ 2,60","€ 3,38",0,"€ 0,00",,,,,,,,
,Blanquette de limoux riserve,Guinot,,Languedoc,,"€ 5,10","€ 6,63",0,"€ 0,00",,,,,,,,
,Gewurztraminer Presulis,Gumphof,,Alto Adige,,"€ 13,80","€ 17,94",0,"€ 0,00",,,,,,,,
,P.Bianco Medioaevum,Gumphof,,Alto Adige,,"€ 14,20","€ 18,46",0,"€ 0,00",,,,,,,,
,P.Bianco Presulis,Gumphof,,Alto Adige,,"€ 14,20","€ 18,46",18,"€ 255,60",,,,,,,,
,Pinot Nero Presulis,Gumphof,,Alto Adige,,"€ 16,50","€ 21,45",0,"€ 0,00",,,,,,,,
,Pinot Nero Renaissance,Gumphof,,Alto Adige,,"€ 37,50","€ 48,75",3,"€ 112,50",,,,,,,,
,Sauvignon Medioaevum,Gumphof,,Alto Adige,,"€ 10,80","€ 14,04",6,"€ 64,80",,,,,,,,
,Sauvignon Presulis,Gumphof,,Alto Adige,,"€ 14,20","€ 18,46",0,"€ 0,00",,,,,,,,
,Cerasuolo ',Gurrieri,,Sicilia,,"€ 7,50","€ 9,75",0,"€ 0,00",,,,,,,,
,Frappato,Gurrieri,,Sicilia,,"€ 7,00","€ 9,10",0,"€ 0,00",,,,,,,,
,Syrah ,Gurrieri,,Sicilia,,"€ 7,00","€ 9,10",0,"€ 0,00",,,,,,,,
,Champagne Grand cru,Guy-Chambertin,,Champagne,,"€ 55,00","€ 71,50",0,"€ 0,00",,,,,,,,
,Gewurztraminer ,Haas,,Alto Adige,,"€ 10,50","€ 13,65",0,"€ 0,00",,,,,,,,
,Manna '10,Haas,,Alto Adige,,"€ 16,00","€ 20,80",24,"€ 384,00",,,,,,,,
,"Moscato rosa 0,375",Haas,,Alto Adige,,"€ 21,00","€ 27,30",24,"€ 504,00",,,,,,,,
,Pinot Bianco ,Haas,,Alto Adige,,"€ 10,00","€ 13,00",0,"€ 0,00",,,,,,,,
,Pinot Nero '21,Haas,,Alto Adige,,"€ 17,00","€ 22,10",18,"€ 306,00",,,,,,,,
,Pinot Nero Ris.'09,Haas,,Alto Adige,,"€ 25,00","€ 32,50",0,"€ 0,00",,,,,,,,
,Brut,Haderburg,,Alto Adige,,"€ 15,50","€ 20,15",6,"€ 93,00",,,,,,,,
,Chardonnay ,Haderburg,,Alto Adige,,"€ 12,00","€ 15,60",12,"€ 144,00",,,,,,,,
,Pas dosè,Haderburg,,Alto Adige,,"€ 21,00","€ 27,30",42,"€ 882,00",,,,,,,,
,Pinot Nero ,Haderburg,,Alto Adige,,"€ 17,60","€ 22,88",6,"€ 105,60",,,,,,,,
,Pinot Nero riserva,Haderburg,,Alto Adige,,"€ 30,00","€ 39,00",0,"€ 0,00",,,,,,,,
,Pinot Nero riserva magnum 2015,Haderburg,,Alto Adige,,"€ 65,00","€ 84,50",0,"€ 0,00",,,,,,,,
,Riesling '13,Haderburg,,Alto Adige,,"€ 10,80","€ 14,04",0,"€ 0,00",,,,,,,,
,Riserva ,Haderburg,,Alto Adige,,"€ 31,20","€ 40,56",0,"€ 0,00",,,,,,,,
,Rosè,Haderburg,,Alto Adige,,"€ 18,10","€ 23,53",0,"€ 0,00",,,,,,,,
,sauvignon ,Haderburg,,Alto Adige,,"€ 10,60","€ 13,78",24,"€ 254,40",,,,,,,,
,Sylvaner ,Haderburg,,Alto Adige,,"€ 9,50","€ 12,35",0,"€ 0,00",,,,,,,,
,Blanc de rouge ,Hartmann,,Alto Adige,,"€ 14,90","€ 19,37",0,"€ 0,00",,,,,,,,
,Chardonnay,Hartmann,,Alto Adige,,"€ 8,90","€ 11,57",0,"€ 0,00",,,,,,,,
,Dona Blanc,Hartmann,,Alto Adige,,"€ 21,00","€ 27,30",0,"€ 0,00",,,,,,,,
,Pinot Bianco,Hartmann,,Alto Adige,,"€ 9,90","€ 12,87",0,"€ 0,00",,,,,,,,
,Pinot Nero,Hartmann,,Alto Adige,,"€ 14,00","€ 18,20",0,"€ 0,00",,,,,,,,
,Pinot Nero ,Hartmann,,Alto Adige,,"€ 14,20","€ 18,46",0,"€ 0,00",,,,,,,,
,Pinot Nero ris.,Hartmann,,Alto Adige,,"€ 35,00","€ 45,50",0,"€ 0,00",,,,,,,,
,Sauvignon ,Hartmann,,Alto Adige,,"€ 10,60","€ 13,78",0,"€ 0,00",,,,,,,,
,Bianco Salina,Hauner,,Sicilia,,"€ 10,60","€ 13,78",0,"€ 0,00",,,,,,,,
,Malvasia delle lipari passito,Hauner,,Sicilia,,"€ 18,70","€ 24,31",0,"€ 0,00",,,,,,,,
,Cuvee brut,Hemart,,Champagne,,"€ 21,00","€ 27,30",0,"€ 0,00",,,,,,,,
,Cuvee brut rose,Hemart,,Champagne,,"€ 24,70","€ 32,11",0,"€ 0,00",,,,,,,,
,Blanc ,Henriot,,Champagne,,"€ 31,35","€ 40,76",18,"€ 564,30",,,,,,,,
,Blanc/Blancs Jeroboam,Henriot,,Champagne,,"€ 148,00","€ 192,40",0,"€ 0,00",,,,,,,,
,Blanc/Blancs magnum,Henriot,,Champagne,,"€ 66,00","€ 85,80",0,"€ 0,00",,,,,,,,
,Blanc/Blancs mezze,Henriot,,Champagne,,"€ 13,50","€ 17,55",0,"€ 0,00",,,,,,,,
,Brut Jeroboam,Henriot,,Champagne,,"€ 126,00","€ 163,80",0,"€ 0,00",,,,,,,,
,Brut Mathusalem,Henriot,,Champagne,,"€ 248,00","€ 322,40",0,"€ 0,00",,,,,,,,
,Brut Millesimè 2008,Henriot,,Champagne,,"€ 35,00","€ 45,50",0,"€ 0,00",,,,,,,,
,Brut Sauverain mezze,Henriot,,Champagne,,"€ 11,50","€ 14,95",0,"€ 0,00",,,,,,,,
,Brut Souverain ,Henriot,,Champagne,,"€ 26,70","€ 34,71",24,"€ 640,80",,,,,,,,
,Brut Souverain magnum,Henriot,,Champagne,,"€ 49,00","€ 63,70",9,"€ 441,00",,,,,,,,
,Brut Souverain millesimato '06,Henriot,,Champagne,,"€ 32,00","€ 41,60",0,"€ 0,00",,,,,,,,
,Cuveè 38,Henriot,,Champagne,,"€ 250,00","€ 325,00",0,"€ 0,00",,,,,,,,
,Cuveè Enchanteleurs '00,Henriot,,Champagne,,"€ 68,00","€ 88,40",0,"€ 0,00",,,,,,,,
,Cuveè Enchanteleurs '96 mag,Henriot,,Champagne,,"€ 145,00","€ 188,50",0,"€ 0,00",,,,,,,,
,Cuvèe Enchanteleurs '98,Henriot,,Champagne,,"€ 66,00","€ 85,80",0,"€ 0,00",,,,,,,,
,Hemera Cuveè 2005,Henriot,,Champagne,,"€ 90,00","€ 117,00",0,"€ 0,00",,,,,,,,
,Hemera Cuveè 2006,Henriot,,Champagne,,"€ 105,00","€ 136,50",0,"€ 0,00",,,,,,,,
,Rosè,Henriot,,Champagne,,"€ 30,50","€ 39,65",36,"€ 1.098,00",,,,,,,,
,Rosè magnum,Henriot,,Champagne,,"€ 68,60","€ 89,18",12,"€ 823,20",,,,,,,,
,Chardonnay ,Herbelet,,Champagne,,"€ 37,00","€ 48,10",0,"€ 0,00",,,,,,,,
,Marsala Vergine,Heritage,,Sicilia,,"€ 18,95","€ 24,64",0,"€ 0,00",,,,,,,,
,Brut millesimato 2002,Hervieux,,Champagne,,"€ 25,50","€ 33,15",0,"€ 0,00",,,,,,,,
,Rosè,Hervieux,,Champagne,,"€ 25,50","€ 33,15",0,"€ 0,00",,,,,,,,
,Rosè Magnum,Hervieux,,Champagne,,"€ 59,00","€ 76,70",0,"€ 0,00",,,,,,,,
,Esprit Chardonnay,Hesprit,,Champagne,,"€ 37,00","€ 48,10",0,"€ 0,00",,,,,,,,
,Zibibbo Passito,Hibiscus,,Sicilia,,"€ 18,00","€ 23,40",0,"€ 0,00",,,,,,,,
,Pinot Nero ris. 2017,Hirsch,,Alto Adige,,"€ 17,90","€ 23,27",0,"€ 0,00",,,,,,,,
,Barthenau Dmg,Hofstatter,,Alto Adige,,"€ 106,00","€ 137,80",0,"€ 0,00",,,,,,,,
,Barthenau Spumante rosè,Hofstatter,,Alto Adige,,"€ 41,00","€ 53,30",0,"€ 0,00",,,,,,,,
,Cabernet S.,Hofstatter,,Alto Adige,,"€ 6,00","€ 7,80",0,"€ 0,00",,,,,,,,
,Chardonnay '07,Hofstatter,,Alto Adige,,"€ 4,90","€ 6,37",0,"€ 0,00",,,,,,,,
,De Vite ,Hofstatter,,Alto Adige,,"€ 5,25","€ 6,83",0,"€ 0,00",,,,,,,,
,Gewurztraminer '17,Hofstatter,,Alto Adige,,"€ 7,75","€ 10,08",0,"€ 0,00",,,,,,,,
,Gewurztraminer Kolbenhof,Hofstatter,,Alto Adige,,"€ 16,00","€ 20,80",0,"€ 0,00",,,,,,,,
,Gewurztraminer kolbenofer magnum,Hofstatter,,Alto Adige,,"€ 29,00","€ 37,70",0,"€ 0,00",,,,,,,,
,Gewurztraminer passito ,Hofstatter,,Alto Adige,,"€ 16,50","€ 21,45",0,"€ 0,00",,,,,,,,
,Lagrein ',Hofstatter,,Alto Adige,,"€ 7,20","€ 9,36",0,"€ 0,00",,,,,,,,
,Lagrein Rosè '14,Hofstatter,,Alto Adige,,"€ 5,60","€ 7,28",0,"€ 0,00",,,,,,,,
,"Moscato rosa 0,375",Hofstatter,,Alto Adige,,"€ 14,00","€ 18,20",0,"€ 0,00",,,,,,,,
,Muller-thurgau '14,Hofstatter,,Alto Adige,,"€ 5,60","€ 7,28",0,"€ 0,00",,,,,,,,
,Pinot Bianco '06,Hofstatter,,Alto Adige,,"€ 5,20","€ 6,76",0,"€ 0,00",,,,,,,,
,Pinot Bianco Barthenau S.Michele,Hofstatter,,Alto Adige,,"€ 10,20","€ 13,26",0,"€ 0,00",,,,,,,,
,Pinot Grigio ,Hofstatter,,Alto Adige,,"€ 6,50","€ 8,45",0,"€ 0,00",,,,,,,,
,Pinot Nero Barthenau S.Urbano '03,Hofstatter,,Alto Adige,,"€ 28,00","€ 36,40",0,"€ 0,00",,,,,,,,
,Pinot Nero Meczan '16,Hofstatter,,Alto Adige,,"€ 6,90","€ 8,97",0,"€ 0,00",,,,,,,,
,Pinot Nero Riserva mazzon,Hofstatter,,Alto Adige,,"€ 15,00","€ 19,50",0,"€ 0,00",,,,,,,,
,Riesling Fischer Saarburger,Hofstatter,,Alto Adige,,"€ 8,00","€ 10,40",0,"€ 0,00",,,,,,,,
,Yngram,Hofstatter,,Alto Adige,,"€ 17,50","€ 22,75",0,"€ 0,00",,,,,,,,
,Champagne ,Huiban,,Francia,,"€ 22,00","€ 28,60",0,"€ 0,00",,,,,,,,
,Friulano ,Humar,,Friuli,,"€ 5,35","€ 6,96",0,"€ 0,00",,,,,,,,
,Ribolla Gialla,Humar,,Friuli,,"€ 5,90","€ 7,67",0,"€ 0,00",,,,,,,,
,Instantane BN,Hure Freres ,,Champagne,,"€ 50,00","€ 65,00",0,"€ 0,00",,,,,,,,
,Amarone della valpolicella,I Campi,,Veneto,,"€ 28,00","€ 36,40",0,"€ 0,00",,,,,,,,
,Sangiovese Maremma,I Cavallini,,Toscana,,"€ 15,50","€ 20,15",6,"€ 93,00",,,,,,,,
,Bianco Brazan 2001,I Clivi,,Friuli,,"€ 19,00","€ 24,70",0,"€ 0,00",,,,,,,,
,Cabernet Tre Venezie,I Clivi,,Friuli,,"€ 4,50","€ 5,85",0,"€ 0,00",,,,,,,,
,Chardonnay Tre Venezia,I Clivi,,Friuli,,"€ 4,10","€ 5,33",0,"€ 0,00",,,,,,,,
,Friulano San Pietro 2013,I Clivi,,Friuli,,"€ 8,00","€ 10,40",0,"€ 0,00",,,,,,,,
,Malvasia Istriana 2013,I Clivi,,Friuli,,"€ 12,00","€ 15,60",0,"€ 0,00",,,,,,,,
,Ribolla Gialla Tre Venezie,I Clivi,,Friuli,,"€ 4,10","€ 5,33",0,"€ 0,00",,,,,,,,
,Calaturi,I Gelsi,,Campania,,"€ 13,20","€ 17,16",6,"€ 79,20",,,,,,,,
,Casello,I Gelsi,,Campania,,"€ 7,90","€ 10,27",6,"€ 47,40",,,,,,,,
,Gelso Rosa,I Gelsi,,Campania,,"€ 4,90","€ 6,37",0,"€ 0,00",,,,,,,,
,Gelso Rosso Aglianico ,I Gelsi,,Campania,,"€ 4,90","€ 6,37",24,"€ 117,60",,,,,,,,
,Etna Bianco,Idda,,Sicilia,,"€ 21,00","€ 27,30",0,"€ 0,00",,,,,,,,
,Etna Rosso,Idda,,Sicilia,,"€ 21,00","€ 27,30",0,"€ 0,00",,,,,,,,
,Borrigiano Valdarno,Il Borro,,Toscana,,"€ 6,00","€ 7,80",0,"€ 0,00",,,,,,,,
,Il Borro,Il Borro,,Toscana,,"€ 24,00","€ 31,20",0,"€ 0,00",,,,,,,,
,Pian di nova '00,Il Borro,,Toscana,,"€ 24,00","€ 31,20",0,"€ 0,00",,,,,,,,
,Pian di nova '2017,Il Borro,,Toscana,,"€ 6,80","€ 8,84",0,"€ 0,00",,,,,,,,
,Chardonnay,Il Carpino,,Friuli,,"€ 17,50","€ 22,75",0,"€ 0,00",,,,,,,,
,Chardonnay normale '20,Il Carpino,,Friuli,,"€ 8,70","€ 11,31",0,"€ 0,00",,,,,,,,
,Exordium Friulano,Il Carpino,,Friuli,,"€ 17,50","€ 22,75",0,"€ 0,00",,,,,,,,
,Friulano normale '20,Il Carpino,,Friuli,,"€ 9,70","€ 12,61",0,"€ 0,00",,,,,,,,
,Malvasia normale '20,Il Carpino,,Friuli,,"€ 9,70","€ 12,61",6,"€ 58,20",,,,,,,,
,Malvasia selezione,Il Carpino,,Friuli,,"€ 17,50","€ 22,75",0,"€ 0,00",,,,,,,,
,Pinot Grigio ,Il Carpino,,Friuli,,"€ 17,50","€ 22,75",0,"€ 0,00",,,,,,,,
,Pinot Grigio normale '20,Il Carpino,,Friuli,,"€ 8,80","€ 11,44",0,"€ 0,00",,,,,,,,
,Ribolla normale '20,Il Carpino,,Friuli,,"€ 9,80","€ 10,14",0,"€ 0,00",,,,,,,,
,Rosso Carpino (Merlot e Cab.S.),Il Carpino,,Friuli,,"€ 17,50","€ 22,75",0,"€ 0,00",,,,,,,,
,Sauvignon normale '20,Il Carpino,,Friuli,,"€ 8,80","€ 11,44",0,"€ 0,00",,,,,,,,
,Sauvignon selezione,Il Carpino,,Friuli,,"€ 17,50","€ 22,75",6,"€ 105,00",,,,,,,,
,Vis Uvae Pinot Grigio,Il Carpino,,Friuli,,"€ 17,50","€ 22,75",0,"€ 0,00",,,,,,,,
,Erbaluce ,Il Chiosso,,Piemonte,,"€ 6,90","€ 8,97",0,"€ 0,00",,,,,,,,
,Fara ,Il Chiosso,,Piemonte,,"€ 9,20","€ 11,96",0,"€ 0,00",,,,,,,,
,Gattinara 2015,Il Chiosso,,Piemonte,,"€ 15,60","€ 20,28",0,"€ 0,00",,,,,,,,
,Gattinara 2015 riserva,Il Chiosso,,Piemonte,,"€ 24,00","€ 31,20",0,"€ 0,00",,,,,,,,
,Ghemme 2017,Il Chiosso,,Piemonte,,"€ 11,50","€ 14,95",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino 2019,Il Cocco,,Toscana,,"€ 23,00","€ 29,90",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino,Il Colle,,Toscana,,"€ 19,90","€ 25,87",0,"€ 0,00",,,,,,,,
,Barbera del Monticino doc '11ris,Il Monticino,,Emilia Romagna,,"€ 12,00","€ 15,60",0,"€ 0,00",,,,,,,,
,Barbera Monticino Magnum,Il Monticino,,Emilia Romagna,,"€ 20,00","€ 26,00",0,"€ 0,00",,,,,,,,
,Bolognino frizzante ,Il Monticino,,Emilia Romagna,,"€ 4,90","€ 6,37",0,"€ 0,00",,,,,,,,
,Bolognino Rosso riserva,Il Monticino,,Emilia Romagna,,"€ 13,00","€ 16,90",48,"€ 624,00",,,,,,,,
,Pignoletto fermo,Il Monticino,,Emilia Romagna,,"€ 7,90","€ 10,27",60,"€ 474,00",,,,,,,,
,Pignoletto frizzante,Il Monticino,,Emilia Romagna,,"€ 6,60","€ 8,58",108,"€ 712,80",,,,,,,,
,Brunello di montalcino  magnum,il Poggione,,Toscana,,"€ 59,00","€ 76,70",0,"€ 0,00",,,,,,,,
,Brunello di montalcino '09,il Poggione,,Toscana,,"€ 18,50","€ 24,05",0,"€ 0,00",,,,,,,,
,Brunello di montalcino '10,il Poggione,,Toscana,,"€ 24,00","€ 31,20",0,"€ 0,00",,,,,,,,
,Brunello di montalcino '11,il Poggione,,Toscana,,"€ 22,00","€ 28,60",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino Jeroboam ,il Poggione,,Toscana,,"€ 113,00","€ 146,90",0,"€ 0,00",,,,,,,,
,Brunello di montalcino mezze,il Poggione,,Toscana,,"€ 7,70","€ 10,01",0,"€ 0,00",,,,,,,,
,Brunello di montalcino ris. '10,il Poggione,,Toscana,,"€ 49,50","€ 64,35",0,"€ 0,00",,,,,,,,
,Rosso Montalcino,il Poggione,,Toscana,,"€ 7,60","€ 9,88",0,"€ 0,00",,,,,,,,
,Trebbiano D'Abruzzo,Inalto,,Abruzzo,,"€ 14,90","€ 19,37",0,"€ 0,00",,,,,,,,
,Bradisismo '17,Inama,,Veneto,,"€ 16,00","€ 20,80",0,"€ 0,00",,,,,,,,
,Carmenere più '10,Inama,,Veneto,,"€ 9,80","€ 12,74",0,"€ 0,00",,,,,,,,
,Carminium '15,Inama,,Veneto,,"€ 11,00","€ 14,30",0,"€ 0,00",,,,,,,,
,Soave  ,Inama,,Veneto,,"€ 7,30","€ 9,49",0,"€ 0,00",,,,,,,,
,Vulcaia base,Inama,,Veneto,,"€ 7,50","€ 9,75",30,"€ 225,00",,,,,,,,
,Vulcaia Fume' '09,Inama,,Veneto,,"€ 26,00","€ 33,80",0,"€ 0,00",,,,,,,,
,Falanghina Beneventano '21,io,,Campania,,"€ 6,00","€ 7,80",0,"€ 0,00",,,,,,,,
,Cirò rosato,Ippolito,,Calabria,,"€ 3,50","€ 4,55",0,"€ 0,00",,,,,,,,
,Cirò rosso,Ippolito,,Calabria,,"€ 3,50","€ 4,55",0,"€ 0,00",,,,,,,,
,Barbera Montegorgi,Isola,,Emilia Romagna,,"€ 9,50","€ 12,35",18,"€ 171,00",,,,,,,,
,Bianco Bologna,Isola,,Emilia Romagna,,"€ 4,30","€ 5,59",0,"€ 0,00",,,,,,,,
,Cabernet ,Isola,,Emilia Romagna,,"€ 3,50","€ 4,55",0,"€ 0,00",,,,,,,,
,Cabernet mezze,Isola,,Emilia Romagna,,"€ 2,40","€ 3,12",0,"€ 0,00",,,,,,,,
,Cabernet S Montegorgi,Isola,,Emilia Romagna,,"€ 9,50","€ 12,35",24,"€ 228,00",,,,,,,,
,Merlot ,Isola,,Emilia Romagna,,"€ 4,00","€ 5,20",24,"€ 96,00",,,,,,,,
,Picrì pig frizz.,Isola,,Emilia Romagna,,"€ 7,00","€ 9,10",72,"€ 504,00",,,,,,,,
,Pignoletto Frizz.,Isola,,Emilia Romagna,,"€ 5,50","€ 7,15",126,"€ 693,00",,,,,,,,
,Pignoletto frizzante mezze,Isola,,Emilia Romagna,,"€ 3,00","€ 3,90",0,"€ 0,00",,,,,,,,
,Pignoletto s,Isola,,Emilia Romagna,,"€ 5,00","€ 6,50",42,"€ 210,00",,,,,,,,
,Pignoletto vecchio vigne,Isola,,Emilia Romagna,,"€ 8,80","€ 11,44",6,"€ 52,80",,,,,,,,
,Riesling ,Isola,,Emilia Romagna,,"€ 6,00","€ 7,80",0,"€ 0,00",,,,,,,,
,Friulano,Isola Augusta,,Friuli,,"€ 4,00","€ 5,20",0,"€ 0,00",,,,,,,,
,Ribolla gialla ,Isola Augusta,,Friuli,,"€ 4,00","€ 5,20",0,"€ 0,00",,,,,,,,
,Cabernet Colli Bolognesi,Isolani conte,,Emilia Romagna,,"€ 4,00","€ 5,20",0,"€ 0,00",,,,,,,,
,Pignoletto frizzante,Isolani conte,,Emilia Romagna,,"€ 3,45","€ 4,49",0,"€ 0,00",,,,,,,,
,Cepparello '01,Isole e Oliena,,Toscana,,"€ 27,00","€ 35,10",0,"€ 0,00",,,,,,,,
,Cepparello '07,Isole e Oliena,,Toscana,,"€ 33,00","€ 42,90",0,"€ 0,00",,,,,,,,
,Cepparello '11,Isole e Oliena,,Toscana,,"€ 36,00","€ 46,80",0,"€ 0,00",,,,,,,,
,Cepparello 2019,Isole e Oliena,,Toscana,,"€ 65,00","€ 84,50",0,"€ 0,00",,,,,,,,
,Cepparello magnum '11,Isole e Oliena,,Toscana,,"€ 79,00","€ 102,70",0,"€ 0,00",,,,,,,,
,Chardonnay ,Isole e Oliena,,Toscana,,"€ 18,50","€ 24,05",3,"€ 55,50",,,,,,,,
,Chardonnay 2021,Isole e Oliena,,Toscana,,"€ 40,00","€ 52,00",0,"€ 0,00",,,,,,,,
,Chianti classico ',Isole e Oliena,,Toscana,,"€ 11,20","€ 14,56",0,"€ 0,00",,,,,,,,
,Collezione dè Marchi syrah '08 + '01,Isole e Oliena,,Toscana,,"€ 35,00","€ 45,50",0,"€ 0,00",,,,,,,,
,Spumante mach,Ist.San.Michele,,Trentino,,"€ 19,00","€ 24,70",0,"€ 0,00",,,,,,,,
,Chianti classico,Istine,,Toscana,,"€ 7,10","€ 9,23",0,"€ 0,00",,,,,,,,
,Chianti Riserva,Istine,,Toscana,,"€ 20,00","€ 26,00",0,"€ 0,00",,,,,,,,
,Mesnil Grand Cru,Jacquart Andrè,,Champagne,,"€ 28,00","€ 36,40",0,"€ 0,00",,,,,,,,
,Millesime Grand Cru,Jacquart Andrè,,Champagne,,"€ 42,00","€ 54,60",0,"€ 0,00",,,,,,,,
,Rosè experience ,Jacquart Andrè,,Champagne,,"€ 28,00","€ 36,40",0,"€ 0,00",,,,,,,,
,Vertus Experience Blanc/Blancs,Jacquart Andrè,,Champagne,,,,0,"€ 0,00",,,,,,,,
,738 Tard,Jacquesson,,Champagne,,"€ 65,00","€ 84,50",0,"€ 0,00",,,,,,,,
,739 degorgement tardif,Jacquesson,,Champagne,,"€ 67,80","€ 88,14",0,"€ 0,00",,,,,,,,
,Avize 1997 Blanc de Blanc,Jacquesson,,Champagne,,"€ 48,00","€ 62,40",0,"€ 0,00",,,,,,,,
,AY Vauzelle Terme 08-09,Jacquesson,,Champagne,,"€ 131,80","€ 171,34",0,"€ 0,00",,,,,,,,
,Champ cain 2009,Jacquesson,,Champagne,,"€ 119,10","€ 154,83",0,"€ 0,00",,,,,,,,
,Cuveè 743,Jacquesson,,Champagne,,"€ 42,05","€ 54,67",0,"€ 0,00",,,,,,,,
,cuveè 743 magnum,Jacquesson,,Champagne,,"€ 95,60","€ 124,28",0,"€ 0,00",,,,,,,,
,Cuveè 744,Jacquesson,,Champagne,,"€ 42,05","€ 54,67",0,"€ 0,00",,,,,,,,
,Cuveè 744 magnum,Jacquesson,,Champagne,,"€ 102,00","€ 132,60",0,"€ 0,00",,,,,,,,
,Cuvee 745,Jacquesson,,Champagne,,"€ 48,50","€ 63,05",0,"€ 0,00",,,,,,,,
,Cuvee 745 magnum,Jacquesson,,Champagne,,"€ 119,35","€ 155,16",0,"€ 0,00",,,,,,,,
,Cuvee 745 magnum,Jacquesson,,Champagne,,"€ 109,95","€ 142,94",0,"€ 0,00",,,,,,,,
,Cuvee 746,Jacquesson,,Champagne,,"€ 51,20","€ 66,56",0,"€ 0,00",,,,,,,,
,Cuvee 747,Jacquesson,,Champagne,,"€ 53,00","€ 68,90",0,"€ 0,00",,,,,,,,
,Cuvee 748,Jacquesson,,Champagne,,"€ 53,00","€ 68,90",6,"€ 318,00",,,,,,,,
,Cuvee 748 magnum,Jacquesson,,Champagne,,"€ 130,00","€ 169,00",0,"€ 0,00",,,,,,,,
,Cuvee D.T 740,Jacquesson,,Champagne,,"€ 82,60","€ 107,38",0,"€ 0,00",,,,,,,,
,Dizi T Rouge Rose,Jacquesson,,Champagne,,"€ 102,85","€ 133,71",0,"€ 0,00",,,,,,,,
,Carte Blanche Ex-Brut,Jean Michel,,Champagne,,"€ 22,00","€ 28,60",0,"€ 0,00",,,,,,,,
,ed,Jean Michel,,Champagne,,"€ 22,00","€ 28,60",0,"€ 0,00",,,,,,,,
,Le Mulottes b/b 2012,Jean Michel,,Champagne,,"€ 32,00","€ 41,60",0,"€ 0,00",,,,,,,,
,Meunier millesimato ,Jean Michel,,Champagne,,"€ 22,00","€ 28,60",0,"€ 0,00",,,,,,,,
,Capo Martino,Jermann,,Friuli,,"€ 33,00","€ 42,90",0,"€ 0,00",,,,,,,,
,Chardonnay,Jermann,,Friuli,,"€ 12,70","€ 16,51",18,"€ 228,60",,,,,,,,
,Pignacolusse '01,Jermann,,Friuli,,"€ 21,00","€ 27,30",0,"€ 0,00",,,,,,,,
,Pinot Bianco,Jermann,,Friuli,,"€ 12,70","€ 16,51",18,"€ 228,60",,,,,,,,
,Pinot Nero red angel,Jermann,,Friuli,,"€ 13,00","€ 16,90",0,"€ 0,00",,,,,,,,
,Sauvignon,Jermann,,Friuli,,"€ 12,70","€ 16,51",54,"€ 685,80",,,,,,,,
,Traminer,Jermann,,Friuli,,"€ 12,70","€ 16,51",0,"€ 0,00",,,,,,,,
,Vinnae,Jermann,,Friuli,,"€ 12,70","€ 16,51",12,"€ 152,40",,,,,,,,
,Vintage Tunina,Jermann,,Friuli,,"€ 32,00","€ 41,60",18,"€ 576,00",,,,,,,,
,Vintage Tunina-'08 magn,Jermann,,Friuli,,"€ 62,00","€ 80,60",1,"€ 62,00",,,,,,,,
,Whear the Dreams,Jermann,,Friuli,,"€ 27,00","€ 35,10",0,"€ 0,00",,,,,,,,
,Cannonau bantu,Jerzu,,Sardegna,,"€ 4,50","€ 5,85",0,"€ 0,00",,,,,,,,
,Cannonau Josto miglior ris,Jerzu,,Sardegna,,"€ 15,70","€ 20,41",0,"€ 0,00",,,,,,,,
,Cannonau Ris.,Jerzu,,Sardegna,,"€ 11,50","€ 14,95",0,"€ 0,00",,,,,,,,
,Brut,Josef Perrier,,Champagne,,"€ 18,00","€ 23,40",0,"€ 0,00",,,,,,,,
,Rosè,Josef Perrier,,Champagne,,"€ 24,00","€ 31,20",0,"€ 0,00",,,,,,,,
,Malvazija,Kabola,,Friuli,,"€ 8,50","€ 11,05",0,"€ 0,00",,,,,,,,
,Moscato secco,Kabola,,Friuli,,"€ 9,00","€ 11,70",0,"€ 0,00",,,,,,,,
,Malvasia 2012,Kante,,Friuli,,"€ 11,10","€ 14,43",0,"€ 0,00",,,,,,,,
,Sauvignon 2009,Kante,,Friuli,,"€ 11,10","€ 14,43",0,"€ 0,00",,,,,,,,
,Terrano,Kante,,Friuli,,"€ 10,00","€ 13,00",0,"€ 0,00",,,,,,,,
,Vitovska,Kante,,Friuli,,"€ 11,10","€ 14,43",0,"€ 0,00",,,,,,,,
,Merlot,Keber,,Friuli,,"€ 16,00","€ 20,80",0,"€ 0,00",,,,,,,,
,Tocai,Keber,,Friuli,,"€ 10,20","€ 13,26",0,"€ 0,00",,,,,,,,
,Alto Adige Pas Dosè,Kettmaier,,Alto Adige,,"€ 22,65","€ 29,45",0,"€ 0,00",,,,,,,,
,Alto Adige riserva extrabrut,Kettmaier,,Alto Adige,,"€ 25,50","€ 33,15",0,"€ 0,00",,,,,,,,
