CATEGORIA,NOME ,PRODUTTORE,ANNO,PROVENIENZA,FORNITORE,ACQUISTO,VENDITA,Q.tà,MAGAZZINO,,,,,,,,
,Taurasi,Amarano,,Campania,,"€ 18,00","€ 23,40",0,"€ 0,00",,,,,,,,
,Prosecco brut,Andreola,,Veneto,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,Prosecco extra dry,Andreola,,Veneto,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,Brunello di Montalc vigna lago '15,Angelini,,Toscana,,"€ 29,00","€ 37,70",0,"€ 0,00",,,,,,,,
,Brunello di Montalc. Mg '16,Angelini,,Toscana,,"€ 33,00","€ 42,90",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '07,Angelini,,Toscana,,"€ 15,00","€ 19,50",0,"€ 0,00",,,,,,,,
,Brunello di montalcino '14,Angelini,,Toscana,,"€ 16,00","€ 20,80",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '15,Angelini,,Toscana,,"€ 16,00","€ 20,80",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '16,Angelini,,Toscana,,"€ 17,10","€ 22,23",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino '20,Angelini,,Toscana,,"€ 18,50","€ 24,05",48,"€ 888,00",,,,,,,,
,Brunello di Montalcino Grande,Angelini,,Toscana,,"€ 56,34","€ 73,24",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino Lago '16,Angelini,,Toscana,,"€ 33,00","€ 20,80",0,"€ 0,00",,,,,,,,
,Brunello di montalcino Spuntali '15,Angelini,,Toscana,,"€ 32,00","€ 41,60",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino Spuntali '16,Angelini,,Toscana,,"€ 45,00","€ 58,50",0,"€ 0,00",,,,,,,,
,Chianti Cl. '08,Angelini,,Toscana,,"€ 4,00","€ 5,20",0,"€ 0,00",,,,,,,,
,Nobile di Montepulciano '09,Angelini,,Toscana,,"€ 7,00","€ 9,10",0,"€ 0,00",,,,,,,,
,Olio extra ,Angelini,,Toscana,,"€ 7,00","€ 9,10",0,"€ 0,00",,,,,,,,
,Rosso di Montalcino,Angelini,,Toscana,,"€ 9,50","€ 12,35",54,"€ 513,00",,,,,,,,
,Rosso montepulciano,Angelini,,Toscana,,"€ 5,50","€ 7,15",0,"€ 0,00",,,,,,,,
,Vin Santo ,Angelini,,Toscana,,"€ 24,00","€ 31,20",0,"€ 0,00",,,,,,,,
,Chardonnay ,Anselmet,,Val D'Aosta,,"€ 9,00","€ 11,70",0,"€ 0,00",,,,,,,,
,Chardonnay riserva,Anselmet,,Val D'Aosta,,"€ 19,50","€ 25,35",0,"€ 0,00",,,,,,,,
,Fumin,Anselmet,,Val D'Aosta,,"€ 14,50","€ 18,85",0,"€ 0,00",,,,,,,,
,Riesling ,Anselmet,,Val D'Aosta,,"€ 8,50","€ 11,05",0,"€ 0,00",,,,,,,,
,Torrette ,Anselmet,,Val D'Aosta,,"€ 10,50","€ 13,65",0,"€ 0,00",,,,,,,,
,Capitel Foscarino,Anselmi,,Veneto,,"€ 8,10","€ 10,53",0,"€ 0,00",,,,,,,,
,I Capitelli,Anselmi,,Veneto,,"€ 17,50","€ 22,75",0,"€ 0,00",,,,,,,,
,I Capitelli mezza,Anselmi,,Veneto,,"€ 9,40","€ 12,22",0,"€ 0,00",,,,,,,,
,Cabernet sauvignon,Anselmi Friuli,,F/G,,"€ 3,30","€ 4,29",0,"€ 0,00",,,,,,,,
,Chardonnay,Anselmi Friuli,,F/G,,"€ 3,30","€ 4,29",0,"€ 0,00",,,,,,,,
,Moscato rosa,Anselmi Friuli,,F/G,,"€ 3,30","€ 4,29",0,"€ 0,00",,,,,,,,
,Ribolla gialla ,Anselmi Friuli,,F/G,,"€ 3,30","€ 4,29",0,"€ 0,00",,,,,,,,
,Roero arneis riserva,Antica Cascina di Roero,,Toscana,,"€ 7,50","€ 9,75",0,"€ 0,00",,,,,,,,
,A Rosato Aldobrandesca,Antinori,,Toscana,,"€ 18,00","€ 23,40",0,"€ 0,00",,,,,,,,
,Aceto di vino Peppoli,Antinori,,Toscana,,"€ 4,70","€ 6,11",0,"€ 0,00",,,,,,,,
,Achelo Syrah magnum legno,Antinori,,Toscana,,"€ 15,50","€ 20,15",0,"€ 0,00",,,,,,,,
,Botrosecco Maremma,Antinori,,Toscana,,"€ 9,90","€ 12,87",0,"€ 0,00",,,,,,,,
,Bruciato '20,Antinori,,Toscana,,"€ 15,12","€ 19,66",42,"€ 635,04",,,,,,,,
,Bruciato Magnum,Antinori,,Toscana,,"€ 35,00","€ 45,50",0,"€ 0,00",,,,,,,,
,Bruciato mezze,Antinori,,Toscana,,"€ 7,20","€ 9,36",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino Pian dell,Antinori,,Toscana,,"€ 28,20","€ 36,66",0,"€ 0,00",,,,,,,,
,Brunello Vigna Ferrovia 2016,Antinori,,Toscana,,"€ 65,00","€ 84,50",0,"€ 0,00",,,,,,,,
,Brut nature jeroboam,Antinori,,Toscana,,"€ 44,00","€ 57,20",0,"€ 0,00",,,,,,,,
,Cervaro della Sala '24,Antinori,,Toscana,,"€ 35,00","€ 45,50",24,"€ 840,00",,,,,,,,
,Chianti Passignano '19,Antinori,,Toscana,,"€ 28,00","€ 36,40",0,"€ 0,00",,,,,,,,
,Chianti Passignano 21,Antinori,,Toscana,,"€ 29,00","€ 37,70",6,"€ 174,00",,,,,,,,
,Chianti Passignano dmgm 08,Antinori,,Toscana,,"€ 145,00","€ 188,50",0,"€ 0,00",,,,,,,,
,Chianti Passignano jeroboam,Antinori,,Toscana,,"€ 125,00","€ 162,50",0,"€ 0,00",,,,,,,,
,Chianti Passignno dmgm '10,Antinori,,Toscana,,"€ 145,00","€ 188,50",0,"€ 0,00",,,,,,,,
,Chianti Peppoli '18 mezze,Antinori,,Toscana,,"€ 4,80","€ 6,24",0,"€ 0,00",,,,,,,,
,Chianti Peppoli '23,Antinori,,Toscana,,"€ 9,70","€ 12,61",42,"€ 407,40",,,,,,,,
,Chianti tenuta del marchese Tign,Antinori,,Toscana,,"€ 20,20","€ 26,26",12,"€ 242,40",,,,,,,,
,Chianti Villa Antinori Riserva,Antinori,,Toscana,,"€ 13,10","€ 17,03",6,"€ 78,60",,,,,,,,
,Cont'Ugo Bolgheri 2022,Antinori,,Toscana,,"€ 27,50","€ 35,75",53,"€ 1.457,50",,,,,,,,
,Conte della vipera sauvignon,Antinori,,Toscana,,"€ 16,00","€ 20,80",12,"€ 192,00",,,,,,,,
,Guado al tasso -'04,Antinori,,Toscana,,"€ 41,00","€ 53,30",0,"€ 0,00",,,,,,,,
,Guado al tasso '05,Antinori,,Toscana,,"€ 43,00","€ 55,90",0,"€ 0,00",,,,,,,,
,Guado al Tasso '06,Antinori,,Toscana,,"€ 43,00","€ 55,90",0,"€ 0,00",,,,,,,,
,Guado al tasso '09,Antinori,,Toscana,,"€ 48,00","€ 62,40",0,"€ 0,00",,,,,,,,
,Guado al Tasso '09 doppio mg,Antinori,,Toscana,,"€ 240,00","€ 312,00",0,"€ 0,00",,,,,,,,
,Guado al Tasso '09 magnum,Antinori,,Toscana,,"€ 110,40","€ 143,52",0,"€ 0,00",,,,,,,,
,Guado al tasso '10,Antinori,,Toscana,,"€ 51,00","€ 66,30",0,"€ 0,00",,,,,,,,
,Guado al Tasso '10 magnum,Antinori,,Toscana,,"€ 117,30","€ 152,49",0,"€ 0,00",,,,,,,,
,Guado al tasso '11,Antinori,,Toscana,,"€ 51,00","€ 66,30",0,"€ 0,00",,,,,,,,
,Guado al Tasso '11 magnum,Antinori,,Toscana,,"€ 117,30","€ 152,49",0,"€ 0,00",,,,,,,,
,Guado al tasso '13,Antinori,,Toscana,,"€ 54,00","€ 70,20",0,"€ 0,00",,,,,,,,
,Guado al tasso '15,Antinori,,Toscana,,"€ 73,00","€ 94,90",3,"€ 219,00",,,,,,,,
,Guado al Tasso '15 magnum,Antinori,,Toscana,,"€ 120,00","€ 156,00",0,"€ 0,00",,,,,,,,
,Guado al Tasso '16,Antinori,,Toscana,,"€ 58,00","€ 75,40",0,"€ 0,00",,,,,,,,
,Guado al Tasso '17,Antinori,,Toscana,,"€ 60,00","€ 78,00",0,"€ 0,00",,,,,,,,
,Guado al Tasso '18,Antinori,,Toscana,,"€ 60,00","€ 78,00",0,"€ 0,00",,,,,,,,
,Guado al Tasso '19,Antinori,,Toscana,,"€ 67,00","€ 87,10",0,"€ 0,00",,,,,,,,
,Guado al Tasso '20,Antinori,,Toscana,,"€ 72,00","€ 93,60",0,"€ 0,00",,,,,,,,
,Guado al Tasso '21,Antinori,,Toscana,,"€ 75,00","€ 97,50",6,"€ 450,00",,,,,,,,
,Guado al Tasso '21 magnum,Antinori,,Toscana,,"€ 173,00","€ 224,90",0,"€ 0,00",,,,,,,,
,Guado al Tasso '22,Antinori,,Toscana,,"€ 75,00","€ 97,50",6,"€ 450,00",,,,,,,,
,Guado al Tasso doppio mg 09,Antinori,,Toscana,,"€ 490,00","€ 637,00",0,"€ 0,00",,,,,,,,
,Guado al Tasso magnum '05,Antinori,,Toscana,,"€ 253,00","€ 328,90",0,"€ 0,00",,,,,,,,
,Laudemio olio nuovo,Antinori,,Toscana,,"€ 13,10","€ 17,03",0,"€ 0,00",,,,,,,,
,Matarocchio 2007 magnum,Antinori,,Toscana,,"€ 200,00","€ 260,00",0,"€ 0,00",,,,,,,,
,Matarocchio 2009,Antinori,,Toscana,,"€ 135,00","€ 175,50",0,"€ 0,00",,,,,,,,
,Matarocchio 2009 magnum,Antinori,,Toscana,,"€ 320,00","€ 416,00",0,"€ 0,00",,,,,,,,
,Matarocchio 2011,Antinori,,Toscana,,"€ 160,00","€ 208,00",0,"€ 0,00",,,,,,,,
,Matarocchio 2011magnum,Antinori,,Toscana,,"€ 320,00","€ 416,00",1,"€ 320,00",,,,,,,,
,Matarocchio 2016,Antinori,,Toscana,,"€ 250,00","€ 325,00",2,"€ 500,00",,,,,,,,
,Olio Peppoli,Antinori,,Toscana,,"€ 10,00","€ 13,00",0,"€ 0,00",,,,,,,,
,Olio S.Cristina,Antinori,,Toscana,,"€ 7,20","€ 9,36",0,"€ 0,00",,,,,,,,
,Poggio alla Nane,Antinori,,Toscana,,"€ 32,00","€ 41,60",0,"€ 0,00",,,,,,,,
,San Walfredo,Antinori,,Toscana,,"€ 130,00","€ 169,00",1,"€ 130,00",,,,,,,,
,Scalabrone rosato 21,Antinori,,Toscana,,"€ 8,80","€ 11,44",30,"€ 264,00",,,,,,,,
,Solaia '04,Antinori,,Toscana,,"€ 75,00","€ 97,50",0,"€ 0,00",,,,,,,,
,Solaia '05,Antinori,,Toscana,,"€ 90,00","€ 117,00",0,"€ 0,00",,,,,,,,
