NOME,PRODUTTORE,ANNO,PROVENIENZA,ACQUISTO,VENDITA,Q.tà,MAGAZZINO
AMARONE DELLA VALPLICELLA BEPI,Viviani,2008,VENETO,"€38,00","€49,40",0,"€0,00"
AMARONE DELLA VALPOLICELLA,Buglioni,,VENETO,"€20,00","€26,00",0,"€0,00"
AMARONE DELLA VALPOLICELLA,I Campi,,VENETO,"€28,00","€36,40",0,"€0,00"
AMARONE DELLA VALPOLICELLA,Latium,,VENETO,"€20,00","€26,00",0,"€0,00"
AMARONE DELLA VALPOLICELLA,Marion,,VENETO,"€25,00","€32,50",0,"€0,00"
AMARONE DELLA VALPOLICELLA,Fabiano,,VENETO,"€16,00","€20,80",0,"€0,00"
AMARONE DELLA VALPOLICELLA,Piccoli Daniela,,VENETO,"€22,00","€28,60",0,"€0,00"
AMARONE DELLA VALPOLICELLA,Mosconi,2011,VENETO,"€35,00","€45,50",0,"€0,00"
AMARONE DELLA VALPOLICELLA,Zenato,2018,VENETO,"€22,00","€28,60",0,"€0,00"
AMARONE DELLA VALPOLICELLA,Allegrini,2021,VENETO,"€35,00","€45,50",12,"€420,00"
AMARONE MAGNUM,Torre D'Orti,,VENETO,"€44,00","€57,20",0,"€0,00"
AMARONE MAGNUM,Viviani,,VENETO,"€40,00","€52,00",0,"€0,00"
AMARONE MAGNUM,Zenato,,VENETO,"€49,00","€63,70",0,"€0,00"
AMARONE MONTE LA PARTE,Piccoli Daniela,,VENETO,"€45,50","€59,15",0,"€0,00"
AMARONE MONTE OLMI,Tedeschi,,VENETO,"€30,00","€39,00",0,"€0,00"
AMARONE MOROPIO,Antolini,,VENETO,"€18,00","€23,40",0,"€0,00"
AMARONE NEGRAR,Villa Spinosa,,VENETO,"€19,80","€25,74",0,"€0,00"
AMARONE PRUVINIANO 20,Negrar,,VENETO,"€20,90","€27,17",36,"€752,40"
AMARONE RIS,Zenato,,VENETO,"€39,90","€51,87",0,"€0,00"
AMARONE RIS MAGNUM,Zenato,,VENETO,"€91,50","€118,95",0,"€0,00"
AMARONE RIS SERGIO ZENATO,Zenato,,VENETO,"€59,00","€76,70",0,"€0,00"
AMARONE RIS.,Masi,,VENETO,"€34,00","€44,20",0,"€0,00"
AMARONE RIS.MONTE DANIELI,Corte Rugolin,,VENETO,"€31,00","€40,30",6,"€186,00"
AMARONE RISERVA,Marconi,,VENETO,"€24,50","€31,85",0,"€0,00"
AMARONE RISERVA CÀ BIANCA,Begali,,VENETO,"€29,40","€38,22",0,"€0,00"
AMARONE RISERVA CÀ FLORIAN,Tommasi,,VENETO,"€49,90","€64,87",0,"€0,00"
AMARONE RISERVA LA BALZE,Novaia,,VENETO,"€39,00","€50,70",0,"€0,00"
AMARONE S.URBANO,Speri,,VENETO,"€30,30","€39,39",18,"€545,40"
AMARONE S.URBANO MAGNUM,Speri,,VENETO,"€55,90","€72,67",0,"€0,00"
AMARONE SELEZIONE 120 ANNI,Tommasi,,VENETO,"€45,00","€58,50",0,"€0,00"
AMARONE SUP 19,Negrar,,VENETO,"€16,10","€20,93",0,"€0,00"
AMARONE SUP MEZZE,Negrar,,VENETO,"€6,50","€8,45",0,"€0,00"
AMARONE SUP. MAGNUM PRUVINIANO,Negrar,,VENETO,"€45,00","€58,50",0,"€0,00"
AMARONE VALPANTENA,Bertani,,VENETO,"€16,30","€21,19",0,"€0,00"
AMATIVO SALENTO IGT,Cantele,,PUGLIA,"€9,85","€12,81",30,"€295,50"
AMBAR MOSCATO,Florio,,SICILIA,"€5,70","€7,41",0,"€0,00"
AMBONNAIS,Krug,,CHAMPAGNE,"€1.561,00","€2.029,30",0,"€0,00"
AMBROSAN,Nicolis,,VENETO,"€36,00","€46,80",0,"€0,00"
AMEDEO,Cavalchina Piona,,VENETO,"€5,90","€7,67",0,"€0,00"
