NOME,PRODUTTORE,ACQUISTO,VENDITA,Q.tà,MAGAZZINO
CULTO GRAN MOSCATO,Antiche Distil. Riunite,"€16,00","€20,80",0,"€0,00"
CUOR DI CIOCCOLATO,Pisoni,"€12,00","€15,60",0,"€0,00"
CURACAO BLEU,Boudier,"€12,15","€15,80",0,"€0,00"
CURACAO TRIPLE SEC,Boudier,"€13,40","€17,42",0,"€0,00"
DAILUAINE 2008,Signatory,"€37,50","€48,75",0,"€0,00"
DAILUAINE 2012,Signatory,"€42,00","€54,60",0,"€0,00"
DECANTER BARBARESCO,Sibona,"€38,50","€50,05",1,"€38,50"
DECANTER BARBERA,Sibona,"€27,00","€35,10",0,"€0,00"
DECANTER BAROLO,Sibona,"€43,00","€55,90",2,"€86,00"
DECANTER MOSCATO,Sibona,"€37,00","€48,10",2,"€74,00"
DECANTER NEBBIOLO,Sibona,"€28,50","€37,05",0,"€0,00"
DEMERARA RUM 2003,Samaroli,"€184,00","€239,20",0,"€0,00"
